"last","st","subcommittee","chamber","id","account","department","recipient.x","location.x","project.x","budget_request","additional_amount","amount.x","first.x","multi","origination","member_amount","house_mem","sentate_mem","house_tot","senate_tot","first.y","middle_name","suffix.x","nickname.x","full_name.x","birthday.x","gender.x","district","senate_class.x","party.x","bioguide_id","...1","...2","state","first","full_name.y","recipient.y","project.y","location.y","project_st","amount.y","senate_class.y","party.y","member_id","pvi_2020","request_num","ID","FY","middle","member_ID","suffix.y","nickname.y","birthday.y","gender.y","cat","sub","address.lon","address.lat","formatted_address.lon","formatted_address.lat","formatted_address.type","formatted_address.loctype","formatted_address.address","formatted_address.north","formatted_address.south","formatted_address.east","formatted_address.west"
"Baldwin","WI","AG","S",290,"Rural Housing Service","USDA, Rural Development","Boys & Girls Club of Barron","Barron","Boys & Girls Club of Barron County New Building Project",NA,NA,5e+05,NA,1,"S",5e+05,0,1,0,5e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",708,708,"Wisconsin","Tammy",NA,"Adams County Fire District","Fire station generator","Adams County","WI",34000,NA,2,NA,NA,1,1244,"FY2023",NA,"B001230",NA,NA,NA,NA,"Rural Development",NA,-89.813145,43.95184,-89.813145,43.95184,"establishment","rooftop","399 e ann st","adams","wi 53910","usa","43.95343, 43.95073, -89.811796, -89.814494"
"Baldwin","WI","AG","S",292,"Rural Housing Service","USDA, Rural Development","Sister Bay & Liberty Grove",NA,"Sister Bay & Liberty Grove",NA,NA,9e+05,NA,1,"S",9e+05,0,1,0,9e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",708,708,"Wisconsin","Tammy",NA,"Adams County Fire District","Fire station generator","Adams County","WI",34000,NA,2,NA,NA,1,1244,"FY2023",NA,"B001230",NA,NA,NA,NA,"Rural Development",NA,-89.813145,43.95184,-89.813145,43.95184,"establishment","rooftop","399 e ann st","adams","wi 53910","usa","43.95343, 43.95073, -89.811796, -89.814494"
"Baldwin","WI","EW","S",6977,"Investigations","Army Corps of Engineers (Civil)","U.S. Army Corps of Engineers","Menominee River","Menominee River Deepening, MI & WI",NA,6e+05,6e+05,NA,2,"S",3e+05,0,2,0,6e+05,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",1994,1994,"Wisconsin","Tammy",NA,"South Central Library System","Solar panel installation","Madison","WI",465000,NA,2,NA,NA,1,5762,"FY2023",NA,"B001230",NA,NA,NA,NA,"Energy",NA,-89.354483,43.1177,-89.354483,43.1177,"establishment","rooftop","1650 pankratz st","madison","wi 53704","usa","43.11905, 43.11635, -89.353370, -89.356067"
"Baldwin","WI","Interior","S",6135,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,NA,"Rib Mountain Sanitary District for Drinking Water Plant and PFAS Mitigation",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","Interior","S",6134,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Campbell","Town of Campbell for PFAS Remediation in Drinking Water Wells",NA,NA,1666000,NA,1,"S",1666000,0,1,0,1666000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","Interior","S",6136,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Park Falls","City of Park Falls for Water and Sewer Aging Infrastructure Improvements",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","Interior","S",6139,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Wausau","City of Wausau for Drinking Water PFAS Response Project",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","Interior","S",6137,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Eau Claire","Eau Claire Waterworks for Drinking Water Infrastructure",NA,NA,1666000,NA,1,"S",1666000,0,1,0,1666000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","Interior","S",6138,"STAG- Drinking Water State Revolving Fund","Environmental Protection Agency",NA,"Peshtigo","Town of Peshtigo for Safe Drinking Water Infrastructure",NA,NA,1667000,NA,1,"S",1667000,0,1,0,1667000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",4621,4621,"Wisconsin","Tammy",NA,"City of Park Falls","To repair and improve the aging public infrastructure of the City of Park Falls Municipal Water and Sewer utilities.","Park Falls","WI",4800000,NA,2,NA,NA,1,12717,"FY2023",NA,"B001230",NA,NA,NA,NA,"Water","Sewage & Water Treatment Systems",-90.452408,45.93164,-90.452408,45.93164,"establishment","rooftop","city of park falls","400 4th ave n s","park falls","wi 54552","usa, 45.93299, 45.93029, -90.451349, -90.454047"
"Baldwin","WI","LHHS","S",5693,"Higher Education","Department of Education",NA,NA,"Milwaukee Area Technical College, WI, for welding training and education programs",NA,NA,310000,NA,1,"S",310000,0,1,0,310000,"Tammy",NA,NA,NA,"Tammy Baldwin","2/11/62","F",NA,1,"Democrat","B001230",7223,7223,"Wisconsin","Tammy",NA,"UW Madison","To upgrade the University’s helium plant. This project will ensure that federal researchers on campus have a stable and reliable source of helium for their research funded by the NIH, Dept. of Energy, NSF, Dept. of Agriculture, and more. Additionally","Madison","WI",2400000,NA,2,NA,NA,1,20188,"FY2023",NA,"B001230",NA,NA,NA,NA,"Education","Higher Ed",-89.412487,43.07659,-89.412487,43.07659,"establishment","geometric_center","madison","wi","usa","43.08448","43.06789, -89.397488, -89.437116"
